addr          name                           size  callers
0050:8915     FUN_0050_8915                   270  FUN_0050_587e,FUN_0050_5c63
0050:8a2a     FUN_0050_8a2a                    24  FUN_0050_8915
0050:8a42     FUN_0050_8a42                    90  FUN_0050_8915
0050:8a9c     FUN_0050_8a9c                   538  FUN_0050_8915,FUN_0050_8a42,FUN_0050_951b
0050:8cb9     FUN_0050_8cb9                    58  FUN_0050_832a
0050:8df6     FUN_0050_8df6                    20  FUN_0050_4daa
0050:8e17     FUN_0050_8e17                    65  FUN_0050_587e
0050:8fe2     FUN_0050_8fe2                    70  FUN_0050_99ff
0050:9029     FUN_0050_9029                    70  FUN_0050_51f7,FUN_0050_587e
0050:906f     FUN_0050_906f                    54  FUN_0050_99ff
0050:90be     FUN_0050_90be                    14  FUN_0050_50f7
0050:90cc     FUN_0050_90cc                     1  FUN_0050_4900
0050:90cd     FUN_0050_90cd                    30  FUN_0050_810f,FUN_0050_b222
0050:90eb     FUN_0050_90eb                    28  FUN_0050_88ba,FUN_0050_9029,FUN_0050_90cd,FUN_0050_90eb,FUN_0050_951b,FUN_0050_ae17
0050:9108     FUN_0050_9108                    16  FUN_0050_832a,FUN_0050_ab96
0050:9118     FUN_0050_9118                    35  FUN_0050_832a,FUN_0050_8915,FUN_0050_90cd,FUN_0050_9913
0050:9142     FUN_0050_9142                     7  FUN_0050_8fe2,FUN_0050_b32b
0050:9149     FUN_0050_9149                     7  FUN_0050_587e
0050:9150     FUN_0050_9150                    10  FUN_0050_99ff
0050:915a     FUN_0050_915a                     6  FUN_0050_587e
0050:91fa     FUN_0050_91fa                   609  FUN_0050_4daa,FUN_0050_4e78,FUN_0050_51b4,FUN_0050_51f7,FUN_0050_587e
0050:94fe     FUN_0050_94fe                    24  FUN_0050_9ebc
0050:951b     FUN_0050_951b                   786  FUN_0050_46b3
0050:97f5     FUN_0050_97f5                    20  FUN_0050_8cb9,FUN_0050_951b
0050:980a     FUN_0050_980a                   105  FUN_0050_8cb9,FUN_0050_951b
0050:9873     FUN_0050_9873                    42  FUN_0050_91fa,FUN_0050_951b,FUN_0050_9ebc
0050:989d     FUN_0050_989d                    65  FUN_0050_91fa
0050:98df     FUN_0050_98df                    20  FUN_0050_91fa
0050:98f3     FUN_0050_98f3                     5  FUN_0050_91fa,FUN_0050_9ebc
0050:990d     FUN_0050_990d                     6  FUN_0050_b15a
0050:9913     FUN_0050_9913                   235  FUN_0050_9ebc
